rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
460,j,TRUE,0,180,mov,repetition,incongruent,1,2
532,j,TRUE,0,0,or,switch,congruent,1,2
736,j,TRUE,180,0,or,repetition,incongruent,1,2
683,f,TRUE,0,180,or,repetition,incongruent,1,2
547,j,TRUE,0,0,mov,switch,congruent,1,2
586,j,TRUE,0,180,mov,repetition,incongruent,1,2
660,j,TRUE,0,0,or,switch,congruent,1,2
650,f,TRUE,0,180,or,repetition,incongruent,1,2
608,f,TRUE,180,0,mov,switch,incongruent,1,2
726,f,TRUE,0,180,or,switch,incongruent,1,2
580,f,TRUE,180,0,mov,switch,incongruent,1,2
425,j,TRUE,0,0,mov,repetition,congruent,1,2
609,j,TRUE,0,180,mov,repetition,incongruent,1,2
605,f,TRUE,180,0,mov,repetition,incongruent,1,2
614,f,TRUE,180,180,or,switch,congruent,1,2
580,j,TRUE,0,0,or,repetition,congruent,1,2
676,j,TRUE,180,0,or,repetition,incongruent,1,2
682,f,TRUE,180,180,or,repetition,congruent,1,2
630,f,TRUE,180,180,mov,switch,congruent,1,2
731,f,FALSE,0,180,mov,repetition,incongruent,1,2
836,j,TRUE,0,0,mov,repetition,congruent,1,2
604,f,TRUE,0,180,or,switch,incongruent,1,2
846,f,TRUE,0,180,or,repetition,incongruent,1,2
520,j,TRUE,0,180,mov,switch,incongruent,1,2
475,f,TRUE,180,0,mov,repetition,incongruent,1,2
629,f,TRUE,0,180,or,switch,incongruent,1,2
647,f,TRUE,180,0,mov,switch,incongruent,1,2
595,j,TRUE,0,0,mov,repetition,congruent,1,2
658,f,TRUE,180,180,or,switch,congruent,1,2
592,f,TRUE,180,0,mov,switch,incongruent,1,2
670,f,TRUE,0,180,or,switch,incongruent,1,2
650,f,TRUE,0,180,or,repetition,incongruent,1,2
603,j,TRUE,180,0,or,repetition,incongruent,1,2
584,j,TRUE,0,180,mov,switch,incongruent,1,2
614,f,TRUE,180,180,mov,repetition,congruent,1,2
591,j,TRUE,180,0,or,switch,incongruent,1,2
597,f,TRUE,180,180,or,repetition,congruent,1,2
496,j,TRUE,0,0,mov,switch,congruent,1,2
576,f,TRUE,180,180,or,switch,congruent,1,2
694,j,TRUE,0,0,or,repetition,congruent,1,2
516,f,TRUE,180,180,mov,switch,congruent,1,2
717,f,TRUE,180,180,mov,repetition,congruent,1,2
621,j,TRUE,180,0,or,switch,incongruent,1,2
694,j,TRUE,180,0,or,repetition,incongruent,1,2
606,j,TRUE,0,0,or,repetition,congruent,1,2
831,j,TRUE,0,0,or,repetition,congruent,1,2
548,f,TRUE,180,0,mov,switch,incongruent,1,2
663,f,TRUE,180,180,mov,repetition,congruent,1,2
665,j,TRUE,180,0,or,switch,incongruent,1,2
726,j,TRUE,0,0,or,repetition,congruent,1,2
626,j,TRUE,0,180,mov,switch,incongruent,1,2
653,j,TRUE,0,0,or,switch,congruent,1,2
694,f,TRUE,180,0,mov,switch,incongruent,1,2
698,f,TRUE,0,180,or,switch,incongruent,1,2
627,f,TRUE,180,180,or,repetition,congruent,1,2
564,j,FALSE,0,180,or,repetition,incongruent,1,2
504,j,TRUE,0,180,mov,switch,incongruent,1,2
704,f,TRUE,180,0,mov,repetition,incongruent,1,2
472,f,TRUE,180,180,mov,repetition,congruent,1,2
467,j,TRUE,0,0,mov,repetition,congruent,1,2
547,f,TRUE,180,180,or,switch,congruent,1,2
650,f,TRUE,180,180,or,repetition,congruent,1,2
680,j,FALSE,180,0,mov,switch,incongruent,1,2
592,j,TRUE,0,0,or,switch,congruent,1,2
568,j,TRUE,0,180,mov,switch,incongruent,1,2
558,f,TRUE,180,180,or,switch,congruent,1,2
565,j,TRUE,0,180,mov,switch,incongruent,1,2
591,f,TRUE,180,180,mov,repetition,congruent,1,2
617,f,TRUE,180,180,mov,repetition,congruent,1,2
571,j,TRUE,0,0,or,switch,congruent,1,2
714,j,TRUE,0,180,mov,switch,incongruent,1,2
638,j,TRUE,0,0,mov,repetition,congruent,1,2
464,j,TRUE,0,0,mov,repetition,congruent,1,2
543,f,TRUE,180,180,or,switch,congruent,1,2
666,f,TRUE,180,0,mov,switch,incongruent,1,2
968,j,TRUE,180,0,or,switch,incongruent,1,2
659,j,TRUE,180,0,or,repetition,incongruent,1,2
803,f,TRUE,0,180,or,repetition,incongruent,1,2
643,f,TRUE,180,180,or,null,congruent,1,3
480,f,TRUE,180,180,mov,switch,congruent,1,3
682,f,TRUE,0,180,or,switch,incongruent,1,3
464,f,TRUE,180,0,mov,switch,incongruent,1,3
514,j,TRUE,180,0,or,switch,incongruent,1,3
572,f,TRUE,180,180,mov,switch,congruent,1,3
546,j,TRUE,180,0,or,switch,incongruent,1,3
493,j,TRUE,0,180,mov,switch,incongruent,1,3
605,j,TRUE,0,0,or,switch,congruent,1,3
559,j,TRUE,0,0,or,repetition,congruent,1,3
532,f,TRUE,180,180,or,repetition,congruent,1,3
526,j,TRUE,0,0,or,repetition,congruent,1,3
529,f,TRUE,180,180,or,repetition,congruent,1,3
598,j,TRUE,0,180,mov,switch,incongruent,1,3
448,f,TRUE,180,180,mov,repetition,congruent,1,3
628,f,FALSE,180,0,or,switch,incongruent,1,3
607,j,TRUE,180,0,or,repetition,incongruent,1,3
560,f,TRUE,180,180,mov,switch,congruent,1,3
716,j,TRUE,180,0,or,switch,incongruent,1,3
497,j,TRUE,0,180,mov,switch,incongruent,1,3
625,j,TRUE,0,0,or,switch,congruent,1,3
554,f,TRUE,180,180,mov,switch,congruent,1,3
584,j,TRUE,0,0,mov,repetition,congruent,1,3
560,f,TRUE,180,0,mov,repetition,incongruent,1,3
572,j,TRUE,180,0,or,switch,incongruent,1,3
571,f,TRUE,180,0,mov,switch,incongruent,1,3
583,f,TRUE,180,180,mov,repetition,congruent,1,3
495,j,TRUE,0,180,mov,repetition,incongruent,1,3
510,j,TRUE,0,0,mov,repetition,congruent,1,3
473,j,TRUE,0,180,mov,repetition,incongruent,1,3
601,j,TRUE,0,0,or,switch,congruent,1,3
722,j,TRUE,180,0,or,repetition,incongruent,1,3
472,j,TRUE,0,0,or,repetition,congruent,1,3
643,j,TRUE,180,0,or,repetition,incongruent,1,3
540,f,TRUE,0,180,or,repetition,incongruent,1,3
531,f,TRUE,180,0,mov,switch,incongruent,1,3
399,j,TRUE,0,0,mov,repetition,congruent,1,3
464,f,TRUE,180,180,mov,repetition,congruent,1,3
520,j,TRUE,180,0,or,switch,incongruent,1,3
443,j,TRUE,0,0,mov,switch,congruent,1,3
578,f,TRUE,180,0,mov,repetition,incongruent,1,3
460,j,TRUE,0,180,mov,repetition,incongruent,1,3
576,f,TRUE,0,180,or,switch,incongruent,1,3
825,f,TRUE,0,180,or,repetition,incongruent,1,3
625,j,TRUE,0,0,or,repetition,congruent,1,3
526,f,TRUE,180,0,mov,switch,incongruent,1,3
525,f,TRUE,180,180,mov,repetition,congruent,1,3
494,j,TRUE,0,180,mov,repetition,incongruent,1,3
538,f,TRUE,180,180,mov,repetition,congruent,1,3
449,j,TRUE,0,180,mov,repetition,incongruent,1,3
476,f,TRUE,0,180,or,switch,incongruent,1,3
561,j,TRUE,0,0,or,repetition,congruent,1,3
603,f,TRUE,0,180,or,repetition,incongruent,1,3
514,j,TRUE,0,0,or,repetition,congruent,1,3
538,f,TRUE,180,180,or,repetition,congruent,1,3
515,j,TRUE,0,0,mov,switch,congruent,1,3
460,f,TRUE,180,180,or,switch,congruent,1,3
684,f,TRUE,180,180,or,repetition,congruent,1,3
527,j,TRUE,0,180,mov,switch,incongruent,1,3
553,j,TRUE,0,0,mov,repetition,congruent,1,3
474,f,TRUE,0,180,or,switch,incongruent,1,3
562,f,TRUE,0,180,or,repetition,incongruent,1,3
538,j,TRUE,0,180,mov,switch,incongruent,1,3
592,f,TRUE,0,180,or,switch,incongruent,1,3
560,j,TRUE,0,0,mov,switch,congruent,1,3
482,f,TRUE,180,0,mov,repetition,incongruent,1,3
516,j,TRUE,0,180,mov,repetition,incongruent,1,3
1006,f,FALSE,0,0,or,switch,congruent,1,3
459,f,TRUE,180,180,or,repetition,congruent,1,3
499,f,TRUE,180,180,mov,switch,congruent,1,3
595,j,TRUE,0,0,or,switch,congruent,1,3
559,f,TRUE,0,180,or,repetition,incongruent,1,3
665,f,TRUE,180,0,mov,switch,incongruent,1,3
434,j,TRUE,0,0,mov,repetition,congruent,1,3
593,j,TRUE,180,0,or,switch,incongruent,1,3
505,f,TRUE,0,180,or,repetition,incongruent,1,3
572,f,TRUE,180,180,or,repetition,congruent,1,3
447,j,TRUE,0,0,mov,switch,congruent,1,3
427,f,TRUE,0,180,or,switch,incongruent,1,3
574,f,TRUE,180,0,mov,switch,incongruent,1,3
526,f,TRUE,180,0,mov,repetition,incongruent,1,3
409,j,TRUE,0,180,mov,repetition,incongruent,1,3
497,j,TRUE,0,0,or,switch,congruent,1,3
504,f,TRUE,180,0,mov,switch,incongruent,1,3
420,j,TRUE,0,0,mov,repetition,congruent,1,3
470,j,TRUE,180,0,or,switch,incongruent,1,3
458,j,TRUE,0,0,mov,switch,congruent,1,3
796,j,TRUE,0,0,mov,repetition,congruent,1,3
415,f,TRUE,180,180,or,switch,congruent,1,3
384,f,TRUE,180,0,mov,switch,incongruent,1,3
492,f,TRUE,180,180,mov,repetition,congruent,1,3
531,f,TRUE,180,180,or,switch,congruent,1,3
615,j,TRUE,180,0,or,repetition,incongruent,1,3
704,f,TRUE,180,180,or,repetition,congruent,1,3
582,f,TRUE,180,180,or,repetition,congruent,1,3
575,f,TRUE,180,180,mov,switch,congruent,1,3
685,j,TRUE,0,0,or,null,congruent,1,4
738,f,TRUE,180,180,mov,switch,congruent,1,4
